name,founded_year,country_code,state_code,zip_code,city,address1,address2,raised_amount
FullTilt Solutions,1987,USA,PA,19087,Wayne,1400 Liberty Ridge Drive,Suite 100,0
FullTurn Media Inc.,,USA,NY,10012,New York,112 Greene Street,Lower Level,0
Fultec Semiconductor,2001,USA,CA,94043,Mountain View,2029 Stierlin Court,Suite 120,12350000.0
Funambol,2001,USA,CA,94063,Redwood City,"643 Bair Island Road,",Suite 305,19500000.0
"Functional, Inc",,USA,CO,80209,Denver,303 S. Broadway,#200-603,0
Fund Mojo,2008,USA,CA,94404,San Mateo,"901 Mariners Island Blvd., Suite 105",,0
Fundable.com,2005,USA,TX,78705,Austin,2002 A Guadalupe St,#170,0
Fundamental Applied Biology,2003,USA,CA,94025,Menlo Park,1455 Adams Drive,Suite 1015,21000000.0
Fundamental Data Limited,,GBR,,SW8 3HE,London,Battersea Studios,80 Silverthorne Road,0
Fundamo (Proprietary),2000,ZAF,,7530,Cape Town,8 High Street,2nd Floor,5150000.0
fundfindr,2007,CAN,,V6B 1A1,Vancouver,Suite 400,21 Water Street,0
Fundgrazing.com,2009,USA,CA,92590,Temecula,"43154 Via Dos Picos,  Ste 1A",,150000.0
Funding Circle,2009,GBR,,W1D 2EU,London,81 Oxford Street,,1100000.0
FundingUniverse,,USA,UT,84095,South Jordan,3630 W. South Jordan Pkwy,Suite 202,0
Fundoofun,2008,IND,,110092,New Delhi,"G-26A, ",Shakarpur,0
FundraisingIP,2007,USA,CA,91385,Santa Clarita,PO Box 55687,,0
FundScrip / Fundstream,2004,CAN,,H3A 1E7,Montreal,666 Sherbrooke St. W.,Suite 910,0
Funender,2002,USA,,,,,,0
funeralOne,2000,USA,MI,48079,Saint Clair,121 S. Third Street,,0
FUNFOOTER,,USA,DE,19714,Newark,PBOX 9657,,0
FUNFUN REALTY,2006,USA,CA,91776,San Gabriel,121 South Del Mar Avenue,Suite C-22,0
Fungo Media,2009,USA,NY,10010,New York,116 W 23rd Street 5th Floor,,1038130.0
FunGoPlay,2008,USA,NJ,07040,Maplewood,26 Woodland Road,,3000000.0
Funguy Studio,2009,PHL,,1200,Makati,"Suite 26P, Burgundy Corporate Tower",Sen. Gil Puyat Avenue,0
Funji,2008,USA,CA,,San Francisco,Soma,,0
Funky Android,2008,GBR,,EC1V 2NX,London,Kemp House,152-160 City Road,0
FUNKY BUSINESS,2001,ROM,,40,Bucharest,"20, Bratului Street, 2nd District",,0
FunMobility,,USA,CA,94588,Pleasanton,5568 Gibraltar Drive,,0
Funnela,2008,POL,,60-688,Pozna?,os. Sobieskiego 1/38,,0
Funny Or Die,2007,USA,CA,94306,Palo Alto,455 Portage Avenue,Suite B,18000000.0
Funpiper,2007,IND,,500072,Hyderabad,Kukatpally,,0
Funtactix,2006,ISR,,68012,Tel Aviv,4 Kofiman Street,2nd Floor,6000000.0
Funtigo Corporation,2002,USA,CA,94109,San Francisco,1819 Polk Street,,4000000.0
Funxional Therapeutics,2005,GBR,,CB1 1BH,Cambridge ,Wellington House,East Road,12200000.0
FUPEI,2004,IDN,,17148,Bekasi ,Jl. Kemandoran No. 40-42 Pekayon Jaya,Bekasi Selatan,0
FurnishWEB,2006,USA,VA,23285-5073,Richmond,PO Box 85073 #40428,,0
furtiv,2009,FIN,,,Helsinki,,,0
FUSE,2004,GBR,,W1D 7AZ,London,5/6 Archer Street Studios,10/11 Archer Street,0
FuseCal,2006,USA,RI,02903,Providence,"150 Chestnut St, 8th Floor",,0
Fuseideas,1999,USA,MA,02144,Somerville,"48 Grove Street,",Suite 305,0
FuseMail,2003,USA,MO,64163,Kansas City,12200 N Ambassador Drive,Suite 232,0
Fusepoint Managed Services,,CAN,,V6B 4N5,"Vancouver, BC",555 West Hastings St. ,"S2600, PO 12062",9000000.0
Fuser,,USA,CO,80302 ,Boulder,1360 Walnut Street,suite 102,0
fuseURL,,USA,,,,,,0
Fusion,2008,USA,CA,94704,Berkeley,2140 Shattuck Avenue #310,,0
Fusion Antibodies,2001,GBR,,BT17 0QL,Northern Ireland,"Unit 4, Springbank Industrial Estate",Pembroke Loop Rd.,2500000.0
Fusion Creative Studios,2006,USA,CT,06405,Branford,5-B Tipping Drive,Suite 3 Second Floor,0
Fusion Development Group,2007,USA,NC,28134,Pineville,PO Box 1322,,0
Fusion Dynamic,,USA,,,,,,6000000.0
Fusion Geophysical,,USA,TX,77381,The Woodlands,"8665 New Trails Drive, Suite 125",,0
Fusion Marketing Partners,2009,USA,CO,80903,Colorado Springs,723 N. Weber,Suite 300,0
Fusion Media Limited.,2006,ISL,,,Tortola,"P.O. Box 146
","Road Town,",0
Fusion Monarch,,USA,CA,92008,Carlsbad,2614 Jefferson St. Suite A,,0
Fusion-io,2006,USA,UT,84121,Salt Lake City,6350 South 3000 East 6th Floor,,111500000.0
Fusionet24,2005,GBR,,wf101tr,Castleford,Fusionet24,Thirlmere road,0
fusionlab,1999,USA,NY,10010,New York,20 West 22nd Street,Suite 1403,0
FusionOne,1998,USA,CA, 95113,San Jose,55 Almaden Blvd.,5th Floor,6000000.0
FusionOps,2000,USA,CA,94085,Sunnyvale ,530 Lakeside Drive,Suite 150,4690000.0
FusionStorm,1995,USA,CA,94105,San Francisco,2 Bryant Street,Suite 150,15000000.0
FutonMedia,2007,USA,HI,96817,Honolulu,,,0
Futura Acorp,2005,ESP,,31570,Navarra,Santa Gema N 56 Bajo ,,1350000.0
Future Delivery,2007,USA,CA,,,,,0
Future Electronics,1968,CAN,,QC H9R 5C7,Pointe-Claire,237 Hymus Boulevard,,0
Future Workshops,2005,GBR,,E1 6QE,London,24-26 Fournier Street,,0
FutureConcept,2006,DNK,,8680,Ry,Rugaardsvej 5,,0
Futurelab,2003,BEL,,3080,Tervuren,Hoornzeelstraat 24,,0
Futuremark,1997,FIN,,FI-02200,ESPOO,Kappelitie 6 B,,0
futurepredictions.com,2009,USA,CA,,Simi Valley,,,0
FutureScape International,2006,DEU,,D-81667,Munich,Innere Wiener Str. 60/V,,0
FutureTap,2008,DEU,,82229,Seefeld,Seefelder Str. 17,,0
Futuretec,2005,GBR,,AB11 5RJ,Aberdeen,Suite 3 Riverside Business Centre,North Esplanade West,0
FutureVision Technologies,,USA,UT,84123,Salt Lake City,4548 S. Atherton Dr.,Suite 100,0
Futuris.tk,2009,BRA,,80020310,Curitiba,R XV de Novembro 362 cj 801,Centro,10000.0
Futurlink,2003,ESP,,08018,Barcelona,C/ Almog?vers 107-119 ,,7000000.0
Fuze Box,2009,USA,CA,94108,San Francisco,88 Kearney ,Suite 600,0
FUZE Fit For A Kid!,2008,USA,CA,95032,Los Gatos,15405 Los Gatos Blvd.,,500000.0
Fuzz,,USA,CA,94107,San Francisco,602 20th Street,,0
Fuzz Productions,2001,USA,MA,01060,Northampton,136 West St. ,Suite 202,0
Fuzzle,2009,RUS,,"119049,",Moscow,"Leninskii prospekt, 4-1?. ",,0
Fuzzyshot,2008,USA,CA,,Mountain View,,,0
Fvlog,2009,DEU,,97072,W?rzburg,Ludwigkai 6,,0
Fwix,2008,USA,CA,94103,San Francisco,901 Market Street,Suite 470,2750000.0
"FXH, Inc",2004,USA,AZ,85719,Tucson,1718 E. Speedway Blvd,#132,0
FXLabs Studios Private Ltd,,IND,,34,Hyderbad,Road No:79,"Beside Ramanaidu Studios, Film Nagar, Jubilee Hills",0
FYIndOut,2007,USA,IL,60657,Chicago,3228 N Kenmore,Suite 3,0
Fynanz,2007,USA,NY,10001,New York,"224 West 30th St, Suite 604",,8200000.0
Fyreball,,USA,WA,,Bellevue,,,1000000.0
G Element,2001,SGP,,608838,Singapore,"10, Toh Guan Road, #03-06, T.T. International",,0
G&B Solutions,2001,USA,VA,20190-5254 ,Reston, 1861 Wiehle Avenue,Suite 200,0
G-uniX Technologies,2003,CAN,,M1B 5J5,Toronto,410 McLevin Rd Suite 210,,0
G.ho.st,,ISR,,,Jerusalem,,,3000000.0
G2 Media Network,2006,USA,CA,90025,Los Angeles,,,0
G2 Microsystems,2004,USA,CA,95008,Campbell,1475 South Bascom Avenue,Suite 707,21850000.0
G2 SwitchWorks,2004,USA,IL,60606,Chicago,233 South Wacker Drive,Suite 3960,0
G2 Systems,,USA,MA,02110, Boston,One Federal Street,9th Floor,0
G2G3,2000,GBR,,EH18 1ND,Edinburgh,"Panama House, 14 The High Street","Lasswade, Midlothian",0
g2One,,USA,CA,94402,San Mateo,411 Borel Avenue,Suite 101,0
G3 Creative,2003,GBR,,G60,Glasgow,"Tiree House, Tiree Place",,0
G4 Media,1997,USA,CA,90036,Los Angeles,5750 Wilshire Boulevard,,0
G5 Business Directory,2007,USA,FL,32505,Pensacola,7185 Rampart Way,,0
G5 Entertainment,2005,SWE,,102 47,Stockholm,Box 5339,,0
G5 Search Marketing,2005,USA,OR,97701,Bend,"550 NW Franklin St., Suite 200",,0
Gaadi Web,2008,IND,,122015,Gurgaon,21 C Udyog Vihar,Sector 18,0
Gaboogie Canada dba Lypp,2007,CAN,,,,,,0
GaBoom,2010,GBR,,GU7 9EZ,Godalming,GaBoom Ltd.,PO Box 772,0
GadgetTown,,USA,NY,11220-4714,Brooklyn,726 64th St ,,0
GadgetTrak,2007,USA,OR,97204,Portland,920 SW Third,Suite 101,0
GageIn,2009,USA,CA,95051,Santa Clara,,,0
Gaia,2003,USA,CA,,San Jose,,,31930000.0
Gaia Human Capital Consultants,2006,USA,FL,34103,Naples,1275 Illinois Drive,,0
Gaiacom Wireless Networks,1999,IRL,,001,Tullamore,Ross,Screggan,500000.0
Gaiagy,,USA,MA,02459 ,Newton Center,59 Pleasant Street,,0
Gaikai,2008,USA,CA,92656,Aliso Viejo,26895 Aliso Creek,Suite B-488 ,15039999.0
Gainging Access,2008,USA,NC,28341,Faison,6045 Dave Bright Road,,0
GainSpan,2006,USA,CA,95032,Los Gatos,121 Albright Way,,33350000.0
Galantos Pharma,2005,DEU,,55131 ,Mainz,Freiligrathstra?e 12,,5700000.0
Galaxy,2008,USA,CA,,San Diego,,,0
galaxyadvisors,2007,USA,MA,02140,Cambridge,25 Rindgefield Street,,600000.0
galdomedia,2007,POL,,60204,Poznan,Gorki 12/2,,0
GALE CENGAGE Learning,,USA,MI,48331,Farmington Hills,27500 Drake Road,,0
GaleForce Solutions,2003,CAN,,V6C 1T2,"Vancouver, BC",1700 - 409 Granville Street,,2120000.0
Galgal Sytems,2007,USA,CO,80301,Boulder,3982 Arbol Court,,0
Galgil Inc.,2009,USA,CA,95020,Gilroy,,,0
Galil Medical,1996,USA,MN,55112,Arden Hills,4364 Round Lake Road,,52000000.0
Galileo Performance,,FRA,,,Paris,,,0
Galixsys Networks,2009,USA,TX,75013,Allen,1144 Philip Dr.,,0
Gallagher Financial Systems,1985,USA,FL,33157,Palmetto Bay,18001 Old Cutler Road,Suite 651,0
Gallisto,,IRL,,Sligo,Ballinode,ITSBic Building,Institute of Technology,0
Gamajo Tech,2008,GBR,,,Basingstoke,,,0
Game Factory,2005,POL,,71-297,Szczecin,Grota Roweckiego 19,,0
Game Insight,2009,RUS,,119334,Moscow,"ul.Vavilova 5, building 3, office 315",,0
"Game Trading technologies, Inc.",2003,USA,MD,21031,Hunt Valley,10957 McCormick Road,,3900000.0
GameCreds,,FRA,,93100,Montreuil-sous-bois,111 rue Marceau,,0
GameDuell,2003,USA,CA,"CA, 94104",San Francisco,235 Montgomery St. Suite 960,,17450000.0
GameFly,2002,USA,CA,90066,Los Angeles,5340 Alla Rd. ,Suite 110,10748830.0
Gameforge,2003,DEU,,76131,Karlsruhe,Albert-Nestler-Strasse 8,,0
GameGround,2007,ISR,,,Tel Aviv,,,6100000.0
GameHuddle,2008,USA,PA,,Pittsburgh,,,25000.0
GameJacket,2008,GBR,,M2 5NT,Manchester,"2nd Floor, The Lexicon",10-12 Mount Street,0
GameLayers,2007,USA,CA,94111,San Francisco,1 Lombard Street,Suite 303,500000.0
Gameleaper,2009,USA,TX,75235,Dallas,6400 Maple Ave,#850,0
Gameleon,2009,BEL,,B-8200,Bruges,Peter Benoitlaan 47,,0
Gamelet,2008,TWN,,,Taipei,"Suite 561, 5F, No. 19-11",Sanchong Rd. Nangang Dist. ,220000.0
GameLink,,USA,CA,94103,San Francisco,537 Stevenson Street,Suite 100,0
Gameloft,1999,USA,NY,10010,New York,45 W. 25th Street,9th Floor,0
GameLogic,,USA,MA,02452,Waltham,411 Waverley Oaks Road,Suite 312,18600000.0
GamePlan Technologies,,USA,NE,68137,Omaha,5705 South 108th Street,,2500000.0
GamerDNA,2006,USA,MA,,Cambridge,,,3000000.0
GamerNook,2008,USA,NJ,08753,Toms River,5 Bash Rd,,0
Gamers Media,2007,USA,NY,,New York,,,0
GamersFirst,2001,USA,CA,,Irvine,,,0
GamerTrainer,2008,USA,OH,44139 ,Solon,PO Box 391118 ,,0
Gamervision,,USA,PA,18902,Doylestown,4030 Skyron Drive,Suite F,8500000.0
Games2Win,,IND,,,"Tardeo,Mumbai ","42, Film Center,","4th Floor, 68,",5000000.0
GamesBox,2003,THA,,10110,Bangkok,2 Ploenchit Center G Floor,"Sukhumvit Road, Klongtoey",0
GamesFreak,2007,BEL,,,,,,0
Gamester,2009,TUR,,34722,Istanbul,E?itim Mah. 1.Ac?kgoz Sok.,Keptioglu Is Merk No:11/5,0
Gamestop,2004,USA,TX,76051,Grapevine,625 Westport Parkway,,0
Gametrust,,USA,,,,,,0
GameTube,2008,FRA,,75012,PARIS,15 avenue du Docteur Arnold Netter,,0
GameVee,,USA,,,,,,0
GameWager,2007,USA,TX,,Austin,,,0
Gameware Development,2003,GBR,,CB1 1DP,Cambridge,25 City Road,,0
GameZombie.tv,2007,USA,IN,47403,Bloomington,510 S Muller Parkway,Suite 1006,0
Gamida Cell,,ISR,,91340 ,Jerusalem,PO Box 34670,,16000000.0
Gamify,2010,USA,CA,94109,San Francisco,2010 Any CoffeeShop,,65000.0
gamigo,,DEU,,22765,Hamburg,Behringstrasse 16b,,1220000.0
Gamma Engineers,,USA,FL,33602,Tampa,201 N Franklin Ave,#3410,0
Gamma Medica-Ideas,,USA,CA,91324,Northridge,"19355 Business Center Dr., Ste 8 ",,14000000.0
Gamma-Service Recycling,,DEU,,04347,Leipzig,Bautzner Stra?e 67,,0
Gammoth,2000,USA,WI,53713,Madison,717 Post Road,,0
Gamook,,USA,CA,94025,Menlo Park,2735 Sand Hill Road,,1500000.0
GANDA,2005,NLD,,,Amsterdam,Herengracht 164,1016 BP  ,0
Gandi.net,1999,FRA,,75011,Paris,15 place de la Nation,,0
Gannett,,USA,VA,22107,McLean,7950 Jones Branch Drive,,0
GannettLocal,2009,USA,AZ,,Phoenix,"200 E Van Buren St, 10th Floor",,0
GAP Miners,2008,IND,,500082,Hyderabad,"21, Pancom Chambers",Raj Bhavan Road,500000.0
GARA Web Hosting,2006,USA,MI,48085,Troy,1083 Shallowdale,,0
Garena,,SGP,,,Singapore,,,2000000.0
Garfield Group Interactive,,USA,MA,02464,Newton Upper Falls,1029 Chestnut Street,,0
Garlik,2005,GBR,, TW9 1AE,Richmond,"2, Sheen Road",,24690000.0
Garmin,1989,USA,KS,66062-3426,Olathe,1200 E. 151st Street,,0
Garmz,,AUT,,,Vienna,,,0
Garnet Biotherapeutics,,USA,PA,19355,Malvern,1 Great Valley Parkway,Suite 12,10400000.0
Gastrogate,1999,SWE,,72130,V?ster?s,Hylsv?gen 4,,0
Gate,,USA,IL,60606,Chicago,00 N Riverside Plz,Ste 800,0
Gate 53|10 Technologies,2009,DEU,,22085,Hamburg,Arndtstr 18-20,,0
Gate2Shop,,GBR,,SW1X 7HH,London,16 GROSVENOR PLACE,,0
gate5,1999,DEU,,,Berlin,,,0
Gatekeeper System,1997,USA,CA,92618,Irvine,8 Studebaker,,2000000.0
GateKeeper USA,,USA,MD,20877,Gaithersburg,9290 Gaither Road,,0
GateRocket,2003,USA,MA,01730,Bedford,19 Crosby Drive,Suite 100,6230757.0
Gateway,1985,USA,CA,92618,Irvine,7565 Irvine Center Drive,,0
Gateway TechnoLabs Pvt Ltd,,IND,,380054,Ahmedabad,,,0
Gateway TechnoLabs Pvt. Ltd.,1995,IND,,380054,Ahmedabad ,"B/81, Corporate House,","Judges Bungalow Road, Bodak Dev,",0
GatherSource,2009,USA,ND,58201,Grand Forks,,,0
Gaura Books India private Limited,1998,IND,,110025,New Delhi,"152/10 Mohan Bhawan, ","Sarai Jullena, New Friends Colony,  Okhla Road",0
gAuto,2008,USA,AZ,85250,Scottsdale,6619 N Scottsdale Road,,350000.0
Gawker Media,2002,USA,NY,10012,New York,210 Elizabeth Street,Fourth Floor,0
Gawkk,2007,USA,NY,10023,New York,258 W. 71 Street,Ste. 1A,0
Gay Ad Network,2007,USA,FL,33305,Ft. Lauderdale,1626 NE 17 Way,,0
Gay Roulette Canada,2010,CAN,,H2L 4X8,Montreal,1467 St-Catherine est,,0
Gayatrimicrosystems,2000,IND,,400063,Mumbai,"105, Acme industrial park, ","I.B. pAtel road, Goregaon east",0
GayCities,,USA,CA,94114,San Francisco,584 Castro St. 3623,,0
Gays.com,2008,CHN,,,Hong Kong,,,0
Gazaro,2007,CAN,,K1Z8P8,Ottawa,"290 Picton Ave, Suite 105",,0
GazeHawk,2009,USA,CA,94043,Mountain View,"750 N Shoreline Blvd , Unit 140",,0
Gazelle,,USA,MA,02134,Boston,61 North Beacon St.,,24400000.0
GazetMe,2008,GBR,,,,,,0
GazoPa,2008,JPN,,140-8572,"Shinagawa-ku, Tokyo",Gazopa project team,"27-18, Minami Oi 6-chome,",0
G?nie Num?rique,,FRA,,,,5 all?e de la cr?ativit? 59650 Villeneuve d'Ascq,,600000.0
GB Environmental,,GBR,,CM1 3AE,Chelmsford,37 Hanbury Road,Widford Industrial Estate,1320000.0
GBN4ME,2007,IND,ID,,New Delhi,,,0
gBolso,2008,BRA,,13500,Rio Claro,"Rua 12, 771",,0
gBox,,USA,CA,,Cupertino,,,5000000.0
GBST Holdings,1983,AUS,,QLD 4064,Milton,5 Cribb Street,,0
GC Marshall,2008,USA,IL,60606-5808,Chicago ,"222 S. Riverside, ",,0
GCD Systeme,,DEU,,91052,Erlangen,Henkestr. 77-79,,641000.0
GCDUK Search,2005,GBR,,,Harrogate,,,0
GCL-Poly Energy Holdings,2006,HKG,,,,36th Floor Two Exchange Square,Suites 3601-4 8 Connaught Road,0
GCR & Associates,1979,USA,LA,70122,New Orleans,2021 Lakeshore Drive,Ste. 500,0
GCT Semiconductor,1998,USA,CA,95131,San Jose,2121 Ringwood Avenue,,5000000.0
gDocsBar,,USA,IN,,Indianapolis,,,0
GE Aviation Systems,1987,USA,MI,49512-1991,Grand Rapids,3290 Patterson Avenue,,0
GE Global Research,,USA,NY,12309,Niskayuna,1 Research Circle,,4000000.0
Gear Live,2004,USA,WA,98012,Bothell,17324 14th Dr SE,,0
Gear6,2006,USA,CA,94043,Mountain View,526 Clyde Avenue,,20000000.0
GearHeadz,2009,USA,PA,15206,Pittsburgh,,,25000.0
Gearworks,1999,USA,MN,55121,Eagan,2770 Blue Water Road,Suite 400,21400000.0
Geary Interactive,2000,USA,CA,94102,San Francisco,720 Market Street,Suite 600,0
Gecad Technologies,2001,ROM,,020337,Bucharest,"10A Dimitrie Pompei, 2",,2940000.0
Gecko Audio,2006,USA,CA,,Palo Alto,,,3000000.0
Gedda-Headz,2009,DNK,,2930,Klampenborg,Klampenborgvej 32,,0
gedpro,2007,ESP,,33205,Gijon,,,0
Geebo,2000,USA,VA,22101,McLean,1350 Beverly Road,,0
Geeco&Rootiz,1990,KOR,,135-889,Seoul,"8F, Inu Bldg.,539-11, Sinsa-Dong",Gangnam-Gu,0
Geegain,2008,LKA,,11600,Kelaniya,"No.771/1, Kandy road",Thorana junction,0
Geekdom,2008,AUS,,NSW 2000,Sydney,Level 150 George Street,,0
GeekExtreme.com,1999,USA,IL,60641,Chicago,4113 N Cicero Avenue,,0
GeekHang,2010,GBR,,,Bradford,,,0
Geeknet,1995,USA,CA,94041,Mountain View,650 Castro Street,Suite 450,0
Geeks On Site,2002,USA,FL,33131,Miami,169 E. Flagler St. #1012,,0
Geeks.com,1996,USA,CA,92056,Oceanside,1890 Ord Way ,,0
GeekStatus,2010,USA,CA,90211,Beverly Hills,8350 Wilshire Blvd.,,435953.0
Geelbe,2007,ARG,,1423,,Luis Mar?a Campos,509 9oA,4500000.0
Geensoft,,FRA,,29280 ,Brest,12O rue Ren? Descartes,,0
Geewa,2005,CZE,,18600,Prague 8,Sokolovska 84,,0
GeeYee,2007,USA,IL,60606,Chicago,200 S. Wacker Drive,15th Floor,102500.0
Geezeo,,USA,CT,06103,Hartford,750 Main Street,Suite 1314,1200000.0
Gefen,1995,USA,CA,91311,Chatsworth,20600 Nordhoff Street,,0
Gefen Productions,1981,USA,NC,27262,High Point,142 Church Avenue,,0
Gehry Technologies,2002,USA,CA,90066,Los Angeles,12541-A Beatrice Street,,0
Gekko,,GBR,,W1F 7TA,London,1 Argyll Street,,0
Gelato ,2008,USA,TX,78702,Austin ,85 Llano st.,Suite 3,0
gelattina,2000,MEX,,64460,Monterrey,San Salvador 312,Mitras Centro,0
GeMeTec Metrology,1985,DEU,,81379,Munich,Geretsrieder Stra?e 10a,,670000.0
Gemfire,1995,USA,CA,94538,Fremont,1220 Page Avenue,,37000000.0
Gemidis,2004,BEL,,,,Technologiepark 3,B 9052 Gent,8080000.0
Gemilo,2007,FIN,,33100,Tampere,Sumeliuksenkatu 18 B,,0
Gemin X Pharmaceuticals,1998,CAN,,H2X 2H7,Montreal,3576 Avenue du Parc,"Suite 4310, QC",54000000.0
Geminare,,CAN,,M5V 1X1,Toronto,277 Richmond Street West,,0
Gemini Mobile Technologies,2001,USA,CA,94403,San Mateo,2600 Campus Drive,Suite 280,32500000.0
Gemkitty,2009,USA,OR,,Portland,,,0
GemStone,,USA,OR,97006,Portland,,,0
Gemzies,2008,NLD,,1059 CN ,Amsterdam,Anthony Fokkerweg 21,,0
GEN ART,1993,USA,NY,10001,New York,133 West 25th Street,6th Floor,0
Gen-Probe,1983,USA,CA,92121,San Diego,10210 Genetic Center Drive,,0
Gen-Y Media ,2006,USA,CA,94010,Burlingame,1745 Adrian Rd. Suite 1,,0
GEN247,2008,USA,NY,11222,Brooklyn,Bayard Studios,98 Bayard St,0
Genaker,2003,ESP,,08014,Barcelona,"Gran Via de les Corts Catalanes, 133 4-A ",,0
GenArts,,USA,MA,02139 ,Cambridge,955 Massachusetts Ave,,22400000.0
Genasys,,ESP,,,Madrid,C/ Ventura de la Vega 5,28014 Madrid,2780000.0
GENBAND,,USA,TX,75074,Plano,3605 E. Plano Pkwy.,,40200000.0
Gencia,2001,GBR,,WA4 4FS,Daresbury,Daresbury Innovation Centre,,0
Gendai Games,2007,USA,TX,78759,Austin,,,1000000.0
Gene Security Network,,USA,CA,94063,Redwood City,2686 Middlefield Road,Suite C ,10000000.0
GeneEx,,USA,FL,33010,Hialeah,601 West 20th Street ,,0
Genelabs Technologies,1983,USA,CA,94063-4738,Redwood City,505 Penobscot Drive,,17300000.0
Genemation,,GBR,,,,,,440000.0
GeneNews,1998,CAN,,,Richmond Hill,,,100808.0
Genentech,,USA,,,,,,0
GenePartner,,CHE,,8003,Zurich,Schlossgasse 9,,0
General Atlantic,,USA,NY,10055 ,New York,Park Avenue Plaza,"55 East 52nd St., 32nd Floor ",0
General Compression,,USA,MA,02458,Newton,One Newton Place,"275 Washington Street, Suite #210",17000000.0
General Digital Corporation,1973,USA,NY,"Bohemia, NY 11716 ",Bohemia,3900 Veterans Memorial Highway ,Suite 310 ,0
General Dynamics,1952,USA,VA,22042-4513,Falls Church,2941 Fairview Park Drive,Suite 100,54900000.0
General Information Services,1966,USA,SC,29036,Chapin,917 Chapin Road,,0
General Magic,,USA,CA,94085,Sunnyvale,420 North Mary Avenue,,0
General Mills,,USA,,,,,,0
General Motors,2009,USA,MI,48265,Detroit,300 Renaissance Center,,0
General Software,1989,USA,WA,98004,Bellevue,11000 NE 33rd Place,Suite 102,0
General System Dynamics,2008,USA,IL,60605,Chicago,910 South Michigan Ave.,Suite 2007,0
General Wireless,2000,SWE,,101 32,Stockholm,?rsta?ngsv?gen 1 a,,0
Generate,,USA,CA,90404,Santa Monica,1545 26th Street,Suite 200,8000000.0
Generation Health,2008,USA,NJ,07458,Upper Saddle River,600 East Crescent Avenue,Suite 205,0
Generation Sales Group,2002,USA,CO,80127,Littleton,"8808 S. Kipling Way, #301",,0
Generation21 Learning Systems,1996,USA,CO,80228,Lakewood,575 Union Boulevard,Suite 107,0
GENERIC IMAGING ,2006,ISR,,30065,Kibbutz Yagur,,,0
Generous Marketing,2007,USA,TX,78130,New Braunfels,2405 South IH 35 ,Suite L,0
Genesee Crest Ltd.,2006,USA,OH,45806,Cridersville,,,0
Genesis Communications,1995,GBR,,BL9 7BJ,Bury,Waterfold Park,Rochdale Road,0
Genesis Employee Benefits,2005,USA,MN,55439-2506,Minneapolis,8000 West 78th Street,Suite 320,0
Genesis Entrepreneurship & Business Networking,2009,IND,,110051,New delhi,C-10 Gagan Apartment,Gagan Vihar Ext,0
Genesis Networks,2002,USA,NY,10119,New York,1 Penn Plaza,Suite 4530,21415091.0
Genesis Operating System,2003,ISR,,,Tel Aviv,,,500000.0
Genesiz,,USA,NY,1001,New York,213 West 35th Street ,Suite # 1201A ,0
Genesys Software Systems,1963,USA,MA,01844,Methuen,5 Branch Street,,0
Genetix Pharmaceuticals,1992,USA,MA,02139,Cambridge,840 Memorial Drive,,35000000.0
Geneva Enterprise Development Center,,USA,NY,14456,Geneva,122 North Genesee Street,,0
GENEVA SOFTWARE TECHNOLOGIES LTD,,IND,,,"Whitefield, Bangalore","#1&2, Export Oriented Industrial Zone",,0
Geni,2006,USA,CA,90069,West Hollywood,"8491 W. Sunset Blvd., #106",,16500000.0
GenieDB,2008,GBR,,N6 5TR,London,Unit 3 - 4 Orchard Mews,42 Orchard Road,0
GenieKnows,1999,CAN,,B3J 2B2,Halifax,1567 Argyle Street,,0
GenieKnows Media,1999,CAN,,B3J2B2,Halifax,1567 Argyle Street,,0
Genieo Innovation,2008,ISR,,46733,Herzliya Pituach,10 Hasadnaot Street,PO Box 12630,3000000.0
GenieTown,2006,USA,CA,94306,Palo Alto,430 Sherman Ave. Ste. 100 ,,2000000.0
Genite,2006,GBR,,NR31 0NW,Great Yarmouth,"Genite Ltd, Lefevre Way",Gapton Hall Industrial Estate,0
GeniTeam,2006,PAK,,,Lahore,"31, Street 14, Cavalry Ground","Cantt,",0
Genius Inside,1997,CAN,, H2Y 1Z5,"Montreal, QC","147 St-Paul West,",Suite 240,0
Genius.com,2005,USA,CA,94404,San Mateo,1400 Fashion Island Blvd,,40599999.0
GeniusRocket,2007,USA,MD,20814,Bethesda,7920 Norfolk Ave,Suite 701,0
Genix Systems,,CHE,,8002,Z?rich,Spl?genstrasse 8,,0
Genizon BioSciences,,CAN,,H4T 2C7,Quebec ,880 McCaffrey Street ,St. Laurent,42810000.0
Genkii,2008,JPN,,,Tokyo,,,0
GenKyoTex,,CHE,,CH-1228,Geneva,"14, Chemin des Aulx",Plan-Les-Ouates,5370000.0
Genline,,SWE,,SE-121 62 ,Johanneshov ,Hallv?gen 14 ,,0
Genmab,,DNK,,1260,Copenhagen K ,Bredgade 34,,157000000.0
Gennari Aronson,2009,USA,MA,02494,Needham,250 First Avenue,,0
Gennio,2005,ESP,,28016,Madrid,"Diego de Le?n, 47",,600000.0
GENNIT,2007,AUS,,NSW 1655,Manly,PO BOX 290,,0
Genocea Biosciences,2006,USA,MA,02142,Cambridge,161 First St.,Suite 2C,0
GenoLogics,,CAN,,V8Z 7X8,British Columbia,Suite 2302 - 4464 Markham Street,Victoria,5000000.0
